시간,일조(hr),일사(MJ/m2),전운량(10분위),중하층운량(10분위),지면온도(°C),시정(10m),전력거래량
0,0,0,0,0,-2.2,1358,0
1,0,0,0,0,-2.7,2000,0
2,0,0,0,0,-3,2000,0
3,0,0,0,0,-3.5,2000,0
4,0,0,0,0,-3.8,1994,0
5,0,0,0,0,-4.2,1786,0
6,0,0,0,0,-4.4,2000,0
7,0,0,0,0,-4.7,2000,0.00254
8,0,0,0,0,-4.9,2000,0.590215
9,0.6,0.15,0,0,-3.6,1973,2.847764
10,1,0.53,0,0,-0.8,1766,5.091735
11,1,0.84,1,1,0,1874,6.73217
12,1,1.03,1,0,0.3,1992,7.092398
13,1,1.1,0,0,1.2,1921,6.833103
14,1,1.01,6,2,1.4,1906,4.895436
15,1,0.78,7,7,1.4,1715,3.194087
16,0.9,0.51,6,6,0,1864,1.086988
17,0.8,0.18,0,0,0,1913,0.112619
18,0,0.01,0,0,-0.4,1887,0.07384
19,0,0,0,0,-0.7,1911,0
20,0,0,0,0,-0.8,1936,0
21,0,0,0,0,-1.2,1871,0
22,0,0,0,0,-1.8,1927,0
23,0,0,0,0,-2.3,1882,0
0,0,0,0,0,-2.6,1772,0
1,0,0,0,0,-3,1732,0
2,0,0,0,0,-3.3,1560,0
3,0,0,0,0,-3.7,1626,0
4,0,0,0,0,-3.9,1302,0
5,0,0,0,0,-4.1,1384,0
6,0,0,0,0,-4.3,1409,0
7,0,0,0,0,-4.3,1249,0.00248
8,0,0,0,0,-4.4,1179,0.406823
9,0,0.12,0,0,-3.1,1168,1.815574
10,1,0.38,0,0,-0.9,1355,3.679209
11,1,0.66,0,0,-0.1,1633,5.192008
12,1,0.88,0,0,0.1,1761,5.305039
13,1,0.95,0,0,0.9,1970,5.184568
14,1,0.91,0,0,1,1995,5.049171
15,1,0.76,4,0,0.6,1998,3.098899
16,1,0.51,0,0,0,2000,0.967558
17,0.9,0.18,0,0,-0.2,2000,0.106717
18,0,0.01,3,0,-0.9,2000,0.03576
19,0,0,3,0,-1.4,2000,0
20,0,0,3,8,-2.2,2000,0
21,0,0,3,0,-2.9,2000,0
22,0,0,4.6667,5,-2.9,2000,0
23,0,0,6.3333,9,-3.3,2000,0
0,0,0,8,0,-3.6,2000,0
1,0,0,7.3333,9,-4.3,1993,0
2,0,0,6.6667,0,-4.8,2000,0
3,0,0,6,0,-5.2,1999,0
4,0,0,8,0,-5.5,2000,0
5,0,0,8,0,-5.7,1981,0
6,0,0,6,0,-6,1991,0
7,0,0,4,0,-6.2,1974,0.002406
8,0,0,3,0,-6.1,1971,0.55736
9,0.6,0.16,1,0,-5,1858,2.913748
10,1,0.55,6,0,-2.4,1752,4.727519
11,1,0.77,7,0,-0.6,1736,6.554424
12,1,1.02,3,0,0,1706,7.554005
13,1,1.13,7,0,0.9,1910,7.545636
14,1,1.1,1,0,1.1,1903,6.711427
15,1,0.96,4,0,0.6,1976,4.439238
16,1,0.62,1,0,0,2000,1.403036
17,1,0.25,1,0,-0.8,2000,0.121258
18,0,0,0,0,-1.7,2000,0.07936
19,0,0,2.3333,0,-2.7,2000,0.0152
20,0,0,4.6667,0,-3.3,2000,0
21,0,0,7,0,-3.9,1997,0
22,0,0,5.3333,0,-4.4,1969,0
23,0,0,3.6667,0,-4.7,1968,0
0,0,0,2,0,-5.2,1990,0
1,0,0,2.3333,0,-5.7,1994,0
2,0,0,2.6667,0,-6.1,1978,0
3,0,0,3,0,-6.2,1968,0
4,0,0,3,0,-6.2,1984,0
5,0,0,1,0,-6.6,2000,0
6,0,0,1,0,-6.5,2000,0
7,0,0,0,0,-6.7,1987,0.00056
8,0,0,3,0,-6.8,1984,0.47358
9,0.3,0.14,7,0,-5.5,1926,2.250073
10,1,0.43,8,0,-3,1872,4.073915
11,1,0.69,8,0,-0.7,1671,5.854528
12,1,0.92,9,0,0,1813,5.629412
13,1,0.91,10,0,0.7,1864,4.953748
14,1,0.78,10,0,0.8,1846,2.717175
15,0.6,0.47,9,0,0.4,1732,1.635364
16,0.3,0.3,9,0,0,1719,0.480215
17,0,0.09,10,10,-0.1,1591,0.083492
18,0,0,10,10,-0.7,1604,0.02616
19,0,0,9.6667,9,-1,1616,0
20,0,0,9.3333,10,-1.4,1702,0
21,0,0,9,9,-1.8,1742,0
